Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,58,,62,92,28,14,,,,220,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,556990,,,,,,,,,,,,,,,,,,,861302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,290468,310894,,,,,,,,,,,,,,,477948,,,,,,,,,,214136,246024,215471,170490,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469,6463,9222,,11586,12820,,,,12549,17511,16575,14461,10140,6487,,,,,,,4748,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt Arab Rep.,,633660,626662,643574,,,,,700293,,,,,,,,,,,,,,,,266398,,,259539,,446269,383799,360749,336974,305308,289820,,,,,,,,59251,,,,,,,,,
Euro area,589929,595958,598890,597573,510453,467035,424709,404031,394471,378656,364374,373332,391151,458753,467157,451889,361785,328041,308517,293424,301441,314381,351923,331496,319556,270979,198881,183895,53844,89252,93032,111740,186301,182367,174982,92003,82647,66637,81170,95050,90550,76361,98433,111777,142989,118133,106607,119017,134294,143325,142112,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,113188,,113963,114719,113515,112171,,94757,79780,73295,54694,38062,26122,17040,14987,26389,33622,43744,53274,50344,49017,66332,75309,88279,,115702,117424,,,
Spain,,134504,116098,98210,,,,,27416,29150,,,,,,,,,23126,13562,10415,,6484,,,,,,,,,,,,,,,,,,,,,,,,18911,43541,50956,46003,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,8115,5863,,,,,,,,854,674,523,,,,,,,381,742,1085,1235,1196,1060,1345,,
Ethiopia,,,,,,,,,,,,,,,,,,2257608,2295837,2444625,,,,,3485383,3454478,3307403,,3047094,3019596,2901206,2763405,2733885,2811921,2811809,2273158,2109554,1833722,1493072,1613536,1788036,1500656,1415709,,880532,911879,,,,,763550,
European Union,799358,802067,795703,830840,764575,740617,714349,712081,732424,741860,710722,745291,739041,814335,816974,842327,747439,688253,666072,682534,706963,760038,800012,714289,619365,558065,479331,398571,166351,221823,226686,234525,310059,306041,319751,228661,230963,236041,199481,221208,202418,191751,205191,196469,235946,215967,222325,248441,281774,295409,291210,
Fragile and conflict affected situations,,,10971677,10975297,11438625,11551492,11520434,11382168,11153459,10789453,10452950,10012158,9887042,9865178,10120516,10649203,11342919,11962174,12503856,13178857,13840526,13751672,14249295,14648907,14858161,15003911,16006798,16064898,16327837,16730829,16146060,15753112,15397338,15000383,14684302,14042774,13568550,12505360,12424277,12437492,12703727,12023149,12083299,11973452,12444541,13070009,13316364,13463678,13131735,13993940,14310089,
Finland,,,,,,,,,,,,,,,,,,,,,,,,2446,2878,3463,3814,2666,747,,,,612,1809,3640,4597,5843,4427,3266,2915,2400,1846,901,1188,919,1118,1426,2287,2799,4141,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,1968,,1796,2724,3763,3523,3117,3467,2992,1231,,649,,,,,,554,,,,811,,302,,,,,,
France,,66783,71028,,,,,15864,,26376,22636,,53922,102812,,106084,45629,,,,,,15330,42966,42454,19353,,2133,,64794,72517,73823,75192,79580,81089,,,,11188,19927,25514,8639,14744,17614,32595,12578,6482,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia Fed. Sts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,1067,673,,,682,1259,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,8148,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,51658,74636,104029,120308,124313,123136,111602,107340,98775,59781,61448,82531,113647,116785,139607,102605,45269,10287,,,45340,78586,,,,,,,,,,5717,,15196,,13248,53893,20715,38076,33662,35227,32221,3478,,,6361,7128,12844,25377,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,12984,3576,,,,,,,,,,,,2957,5307,,4206,1211,,427,,3577,,,,1921,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605029,489610,591960,538052,564741,,499234,487691,398499,304515,300154,,155835,,,,,,56903,84794,26649,155175,
Gibraltar,,,,,,,,,596,626,,614,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,263827,255102,276304,295500,301436,314382,330252,328195,,,,,,,320717,321261,319521,308608,263866,250673,237675,234654,230351,220419,233896,227430,199210,175736,182407,167548,136334,,142323,,,,80822,
Gambia,,24469,25498,25959,26892,27415,27504,24936,23437,22054,20357,16371,14759,13629,14015,12967,14102,,,,,,33093,32120,,,31963,,36662,29192,35676,38632,42692,42466,44680,49133,43955,42339,49586,,48294,50878,48503,50114,52814,44905,43895,41254,39679,36013,34840,
Guinea-Bissau,,,,,,,,,,,,23402,16100,,20787,22463,,33127,35588,,,,,,,,,,,,41500,,,,,,,,,,29854,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,11633,,,,,,9971,8597,9543,11478,,,,,29825,32063,34145,35091,35655,,,42800,,,,,,
Greece,,37327,35661,31297,24770,24259,24802,28119,31484,35042,41001,34442,32236,28360,28520,29058,33481,43168,39565,41184,40723,41198,49003,54344,53781,48766,45084,38599,11497,8182,3530,8399,7183,7516,6916,10700,10849,11701,,,6393,6139,4937,4392,8097,5996,4480,4374,5390,3778,,
Grenada,,,1961,,,,,196,,,196,711,985,994,809,,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,238437,237349,239682,,246754,247014,,,255636,,,243826,275243,256805,,,,,,,,,,,,,,231120,,126258,112844,129644,106481,,69639,58764,45873,40100,44528,,,57729,93399,121485,144170,146694,153545,141185,129292,130153,131945,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,9027,8101,,6758,,9255,5943,,8402,,,7829,,,,,,,,,4055,5140,6118,,4998,5756,,,,,,,3813,,,,,872,3646,1218,,,,,,,,,,,
High income,4250116,4243133,4288651,4040833,4136479,3949846,3622285,3505134,3415582,3379846,2270775,2319643,2131096,2405012,2568184,2506326,2174291,1872648,1688679,1542770,1433910,1469829,1690654,1773093,1837786,1667261,1732329,1792364,1207114,1143638,1168992,1191581,1305297,1263309,1189402,872097,856362,716211,583385,800755,718740,758097,741309,764621,738387,548857,381195,463520,502017,585309,646714,
Hong Kong SAR,,34048,30408,30121,24167,18725,16701,13031,13962,13134,2141,2504,5858,7233,8853,11805,,,,,,,,,,17830,16011,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,77159,77652,,47056,45403,44289,,52211,,,,,62877,,59953,,,,,,,79411,,,59070,61359,90992,69964,103836,85864,93461,87059,83708,104763,123641,126217,,,,,,,
